"","Id.Latido","Registro","Error","Time","Position","Frecuency","Channels","Order","C1_Position","C1_Error","C1_ErrorRMSE","C1_ErrorNRMSD","C1_ErrorAbsMax","C1_MDL","C1_FSS","C1_ESC","C1_VAR","C1_BIC","C1_AIC","C1_Sigma","C1_H0","C1_H1","C1_H2","C1_H3","C1_H4","C1_H5","C2_Position","C2_Error","C2_ErrorRMSE","C2_ErrorNRMSD","C2_ErrorAbsMax","C2_MDL","C2_FSS","C2_ESC","C2_VAR","C2_BIC","C2_AIC","C2_Sigma","C2_H0","C2_H1","C2_H2","C2_H3","C2_H4","C2_H5","Type"
"1",0,208,0.21186736,193566392,46,360,2,6,46,0.16595069,51.91088,0.09684866,170.88612,58.314667,388042.5,2338300,2711.7844,640.24835,626.06165,12.239998,-380.36374,-405.55078,-1180.2827,-470.66565,-32.86017,-159.48743,46,0.045916684,29.935608,0.10394308,148.06998,83.32941,129044.25,2810400,899.56305,534.7679,520.58124,11.519999,-1293.2152,-431.68317,-566.6341,-416.2812,-518.0753,-244.60878,6
"2",1,208,0.10653579,193984541,209,360,2,6,209,0.09271073,34.560802,0.060420983,139.74217,84.0325,172000.66,1855240,1201.5989,552.3591,538.1724,11.879998,930.8966,-67.81464,-586.1284,-422.06708,-423.972,-332.61533,209,0.013825059,16.580503,0.04891004,86.19098,84.67544,39587.49,2863459,275.85922,452.7781,438.59143,11.519999,-1570.0457,-208.62654,-324.44156,-362.66327,-267.6797,-82.846115,5
"3",2,208,0.1694153,193688949,483,360,2,6,483,0.009507228,6.3960767,0.018756824,17.998465,98.50818,5891.0107,619635,31.29675,347.06186,332.8752,3.9600005,768.6462,32.895645,-141.54886,-36.827774,-21.092848,2.7532198,483,0.15990807,4.387867,0.0797794,15.379261,55.883255,2772.486,17338,19.36465,288.5968,274.41013,11.159999,-18.972801,13.9228525,113.82559,12.519323,16.917065,24.749132,1
"4",3,208,0.04840283,193478241,697,360,2,6,697,0.032121792,23.288248,0.0452199,85.73703,65.78244,78097.33,2431288,505.58426,533.14575,518.95905,7.920002,1378.5222,-526.20135,-140.1123,-361.57114,114.16833,-112.15813,697,0.016281037,12.470502,0.036146384,37.67096,66.65824,22393.932,1375461,156.54262,435.1356,420.94894,12.959997,-918.2749,667.7658,220.77742,-101.849266,45.689808,52.184525,6
"5",4,208,0.017890729,193079157,853,360,2,6,853,0.009091579,11.790173,0.032125812,50.57925,65.038605,20017.176,2201727,137.326,435.12436,420.93768,7.560002,1296.1548,340.10852,409.49545,346.72058,281.32477,137.74498,853,0.008799151,6.9588666,0.025678474,32.199673,65.79202,6973.3184,792499,47.485035,359.20544,345.01877,7.2000017,-876.74805,24.430107,-62.05335,-75.66957,-61.495686,-53.69931,5
"6",5,208,0.21358779,231931449,1181,360,2,6,1181,0.022951324,10.043023,0.028131718,27.000805,94.182175,14524.172,632825,77.6075,412.03372,397.84705,4.3200006,748.7852,16.641548,-237.20354,-30.0802,-6.860697,11.281363,1181,0.19063647,4.457713,0.07685712,15.57354,53.65709,2861.4534,15010,19.879583,293.95172,279.76505,10.44,-57.54976,21.085516,87.15805,0.2540789,15.924167,23.276669,1
"7",6,208,0.031974386,194021426,1378,360,2,6,1378,0.021755654,18.456408,0.04282229,48.381767,74.20737,49052.016,2254679,342.94058,479.41077,465.2241,11.879998,1445.46,191.40652,-24.52444,-109.83991,-164.08481,-200.1138,1378,0.010218732,8.431616,0.030998588,37.27748,66.608116,10237.269,1001814,68.62874,386.84933,372.66266,7.2000017,-921.86597,194.73523,-274.1502,18.860611,-157.80879,-58.311813,5
"8",7,208,0.025100317,193863070,1579,360,2,6,1579,0.012837762,16.386534,0.03846604,63.504173,64.221725,38666.66,3011947,263.8996,482.51764,468.33096,7.920002,1552.5637,264.49252,533.09296,283.17804,325.11887,150.96188,1579,0.012262554,9.179432,0.032551177,30.655846,66.62963,12133.724,989494,84.63969,392.96353,378.77686,12.239998,-971.68274,21.534191,157.7208,-46.286457,9.402802,74.98099,5
"9",8,208,0.19525486,193830030,1860,360,2,6,1860,0.049198706,15.021544,0.04172651,41,82.37427,32493.137,660447,182.3872,470.00916,455.8225,5.040001,736.59674,24.311518,-286.51224,-51.820328,-2.8091493,2.3690186,1860,0.14605616,4.683027,0.06989592,15.347914,59.728943,3158.0264,21622,22.068115,292.63486,278.44818,11.879998,-41.25974,35.04881,115.332985,40.004913,11.669827,22.246593,1
"10",9,208,0.024722366,193459537,2058,360,2,6,2058,0.021918865,19.301226,0.050792698,65.98614,61.100597,53645.37,2447452,371.78488,506.1025,491.91583,7.560002,1234.2318,490.59613,510.8716,405.79837,363.85483,267.84528,2058,0.002803501,5.4634194,0.018031087,15.518547,67.71519,4298.249,1533172,30.046608,324.33853,310.1519,7.920002,-1191.0703,-137.08305,-243.00902,-117.07972,-113.8227,-75.61418,5
