"","Id.Latido","Registro","Error","Time","Position","Frecuency","Channels","Order","C1_Position","C1_Error","C1_ErrorRMSE","C1_ErrorNRMSD","C1_ErrorAbsMax","C1_MDL","C1_FSS","C1_ESC","C1_VAR","C1_BIC","C1_AIC","C1_Sigma","C1_H0","C1_H1","C1_H2","C2_Position","C2_Error","C2_ErrorRMSE","C2_ErrorNRMSD","C2_ErrorAbsMax","C2_MDL","C2_FSS","C2_ESC","C2_VAR","C2_BIC","C2_AIC","C2_Sigma","C2_H0","C2_H1","C2_H2","Type"
"1",0,213,0.44396073,61732602,95,360,2,3,95,0.29582146,76.49357,0.11282237,231.10703,45.69931,842582.3,2848280,5890.8228,690.3458,681.8362,12.5999975,-27.22679,-646.4033,-1259.8091,95,0.14813927,62.39473,0.12503953,176.84908,51.804672,560606.7,3784322,3686.7195,662.2342,653.7245,10.44,-1766.6775,-297.24454,119.21715,1
"2",1,213,0.049064923,61678169,253,360,2,3,253,0.028865773,16.002716,0.029202037,50.14234,66.72381,36876.516,1277517,218.32849,466.29047,457.78082,6.1200013,879.1071,-24.414217,-683.53125,253,0.02019915,22.57289,0.040308733,60.273094,56.302246,73373.086,3632484,481.30814,515.8252,507.31555,7.2000017,-1883.9222,95.98872,27.092808,1
"3",2,213,0.0652361,62180176,478,360,2,3,478,0.051725652,26.423067,0.04135065,77.99991,56.265507,100537.7,1943672,646.2512,538.5034,529.9938,5.760001,1216.1117,-110.548294,-593.2842,478,0.013510446,13.227855,0.027789611,50.923923,51.849022,25196.562,1864969,176.16519,438.86804,430.3584,3.6000004,-1298.4508,168.05157,-354.3387,1
"4",3,213,0.10371964,62254808,673,360,2,3,673,0.09293604,33.68234,0.05389174,101.9993,53.629097,163367.98,1757854,1065.4401,573.45746,564.94775,6.1200013,1078.5172,-120.299904,-645.6125,673,0.010783594,12.9780245,0.026539927,42.235714,59.704033,24253.791,2249138,155.55396,436.12234,427.6127,3.6000004,-1424.0776,79.39536,-436.55905,1
"5",4,213,0.036170095,61838908,873,360,2,3,873,0.02554404,18.776617,0.029569475,54.999912,54.606644,50768.832,1987502,337.60233,489.30945,480.79977,5.760001,1262.337,-216.76265,-544.2899,873,0.010626053,14.152699,0.028080752,47.70778,54.47146,28843.041,2714370,196.2196,448.59964,440.09,3.9600005,-1560.3424,96.773705,-491.41992,1
"6",5,213,0.08402928,61764193,1076,360,2,3,1076,0.07119862,29.684141,0.045527823,80.99053,53.555943,126885.336,1782132,833.43085,555.26154,546.75183,6.1200013,1052.0381,-291.0864,-680.97754,1076,0.012830662,12.270074,0.027950054,53.741386,51.970943,21679.879,1689693,151.54353,428.04477,419.53513,3.9600005,-1224.4562,193.67023,-362.23154,1
"7",6,213,0.10418587,62394516,1272,360,2,3,1272,0.085811906,34.404987,0.052287214,90.9962,51.92468,170453.25,1986359,1135.1794,576.5143,568.0046,6.4800014,1147.7688,-65.61217,-703.01324,1272,0.018373968,16.416052,0.036238525,46.898735,60.638496,38806.098,2112015,243.982,469.96265,461.453,3.9600005,-1378.7434,59.56633,-410.76447,1
"8",7,213,0.10081705,62127875,1466,360,2,3,1466,0.084727354,31.410816,0.050662607,91.99991,55.77197,142076.08,1676862,908.0222,563.4032,554.8935,5.760001,1070.4136,-59.13691,-620.8897,1466,0.016089693,16.074697,0.03260588,51.597218,58.063683,37209.008,2312599,240.70189,466.93674,458.4271,3.6000004,-1437.6561,2.660855,-456.64874,1
"9",8,213,0.087431535,61631306,1655,360,2,3,1655,0.078002796,29.393097,0.048185404,86.9999,55.278725,124409.39,1594935,800.59644,553.84265,545.333,5.760001,1023.517,-237.42082,-605.4499,1655,0.009428737,12.419384,0.025294062,54.107536,52.670094,22210.719,2355641,155.0979,429.7865,421.27682,3.9600005,-1469.3054,67.611046,-412.31085,1
"10",9,213,0.10795872,61646370,1849,360,2,3,1849,0.092389494,33.620796,0.052368842,90.99926,53.73367,162771.53,1761797,1060.5077,573.1941,564.68445,6.1200013,1057.5741,-95.117004,-686.6697,1849,0.015569226,13.553066,0.030456329,55.161232,51.55298,26450.729,1698911,184.95357,442.3655,433.85587,3.6000004,-1219.7157,86.84435,-420.96512,1
