Id.Latido,Registro,Error,Time,Type,RR1,RR
1,223,0.047595,0.001,5,205,436
2,112,0.280966,0.002,1,262,0
3,109,0.015221,0.003,2,267,0
4,233,0.385924,0.004,5,148,215
5,210,0.137672,0.005,5,141,369
6,201,0.017281,0.006,1,490,0
7,214,0.048518,0.007,2,275,18
8,219,0.037872,0.008,1,314,145
9,221,0.053028,0.009,1,264,0
10,210,0.076351,0.01,1,205,118
11,212,0.337846,0.011,1,243,16
12,221,0.024222,0.012,1,244,13
13,203,0.02615,0.013,1,244,11
14,223,0.010483,0.014,1,255,18
15,228,0.16432,0.015,1,365,0
16,111,0.057638,0.016,2,297,5
17,105,0.103209,0.017,1,243,21
18,105,0.092449,0.018,1,260,0
19,121,0.041324,0.019,1,367,6
20,112,0.314606,0.02,1,257,14
21,112,0.273487,0.021,1,261,0
22,222,0.340524,0.022,1,299,8
23,104,0.431158,0.023,12,295,0
24,118,0.063741,0.024,3,280,0
25,112,0.235006,0.025,1,253,11
26,215,0.025546,0.026,1,191,16
27,105,0.057774,0.027,1,262,0
28,215,0.028435,0.028,1,215,0
29,111,0.069434,0.029,2,305,1
30,230,0.120108,0.03,1,246,3
31,117,0.014216,0.031,1,416,24
32,118,0.081959,0.032,3,306,0
33,234,0.127928,0.033,1,246,0
34,207,0.024122,0.034,2,322,0
35,115,0.104841,0.035,1,327,59
36,210,0.119293,0.036,1,231,19
37,106,0.508665,0.037,1,311,12
38,103,0.014462,0.038,1,308,0
39,118,0.108902,0.039,3,309,17
40,208,0.307712,0.04,1,216,0
41,223,0.008247,0.041,1,240,15
42,119,0.024202,0.042,5,190,421
43,219,0.070392,0.043,1,274,5
44,233,0.074032,0.044,1,213,50
45,215,0.018977,0.045,1,199,57
46,106,0.14122,0.046,5,181,415
47,100,0.03902,0.047,1,286,0
48,213,0.078318,0.048,5,204,0
49,208,0.301472,0.049,1,231,0
50,221,0.068205,0.05,1,291,0
51,215,0.028762,0.051,1,202,4
52,203,0.141837,0.052,1,244,102
53,107,0.371137,0.053,12,295,14
54,124,0.186046,0.054,3,359,48
55,121,0.021974,0.055,1,357,12
56,109,0.015563,0.056,2,248,0
57,207,0.038699,0.057,2,351,0
58,116,0.079343,0.058,1,256,2
59,109,0.012798,0.059,2,269,0
60,107,0.321103,0.06,12,308,0
61,233,0.061625,0.061,1,294,0
62,213,0.225001,0.062,6,191,43
63,231,0.097049,0.063,1,609,0
64,209,0.220091,0.064,1,222,1
65,214,0.096787,0.065,5,173,443
66,215,0.023621,0.066,1,213,0
67,214,0.051523,0.067,2,261,7
68,121,0.011399,0.068,1,375,0
69,122,0.101207,0.069,1,269,0
70,111,0.104116,0.07,2,289,22
71,233,0.231687,0.071,5,145,200
72,212,0.213391,0.072,3,227,0
73,121,0.014049,0.073,1,378,0
74,205,0.110713,0.074,1,234,0
75,234,0.165267,0.075,1,234,14
76,101,0.073359,0.076,1,354,7
77,103,0.018038,0.077,1,314,0
78,212,0.192289,0.078,3,233,0
79,208,0.062883,0.079,5,209,72
80,208,0.275006,0.08,1,177,0
81,221,0.035243,0.081,1,231,82
82,213,0.052002,0.082,1,194,6
83,122,0.069732,0.083,1,254,4
84,223,0.016729,0.084,1,257,9
85,108,0.065408,0.085,1,372,24
86,209,0.121007,0.086,1,237,10
87,124,0.58104,0.087,3,415,32
88,231,0.139969,0.088,3,327,48
89,219,0.042808,0.089,1,520,0
90,223,0.010939,0.09,1,245,12
91,119,0.102043,0.091,1,415,0
