"","Id.Latido","Registro","Error","Time","Position","Frecuency","Channels","Order","C1_Position","C1_Error","C1_ErrorRMSE","C1_ErrorNRMSD","C1_ErrorAbsMax","C1_MDL","C1_FSS","C1_ESC","C1_VAR","C1_BIC","C1_AIC","C1_Sigma","C1_H0","C1_H1","C1_H2","C1_H3","C2_Position","C2_Error","C2_ErrorRMSE","C2_ErrorNRMSD","C2_ErrorAbsMax","C2_MDL","C2_FSS","C2_ESC","C2_VAR","C2_BIC","C2_AIC","C2_Sigma","C2_H0","C2_H1","C2_H2","C2_H3","Type","RR1","RR2"
"1",0,100,0.29061532,99442116,77,360,2,4,77,0.1675747,39.190575,0.12058638,125.60486,56.83,221169.78,1319828,1542.738,586.1718,575.69763,14.039996,-619.8659,-368.9037,-693.70416,-311.62317,77,0.1230406,33.870693,0.13387626,127.87839,64.87462,165200.22,1342648,1149.9421,555.6029,545.12866,14.759995,-754.6941,-439.22046,-597.0222,-241.93903,1,5.90819806302005,0
"2",1,100,0.06732826,134452737,370,360,2,4,370,0.021245148,8.596918,0.028848719,37.471073,63.95776,10642.608,500943,66.782166,381.09207,370.61783,4.3200006,687.3717,8.171962,-127.05721,40.124847,370,0.046083115,7.8626423,0.044421706,19.779793,67.036736,8902.244,193178,53.451057,368.2356,357.76135,5.760001,362.91675,-167.39368,-7.4040685,156.49846,1,293,0
"3",2,100,0.038291737,99676982,662,360,2,4,662,0.017178202,5.9631367,0.021145875,15,73.26164,5120.4956,298081,29.893839,328.41583,317.9416,4.3200006,468.01456,56.113674,-265.80664,-10.999974,662,0.021113535,4.7132435,0.02442095,12.30603,74.784775,3198.9119,151510,18.408737,294.54413,284.0699,4.680001,314.16583,-171.42122,-104.17061,96.82006,1,292,0
"4",3,100,0.040164765,99671904,946,360,2,4,946,0.014258021,5.337797,0.019270025,19.210737,59.59859,4102.8594,287758,27.205477,312.463,301.98877,4.3200006,468.70953,60.034184,-245.48424,9.99455,946,0.025906745,5.0530086,0.026046436,15.539213,66.83656,3676.737,141922,22.385817,304.5676,294.09335,5.400001,282.9142,-159.8428,-123.51423,131.90651,1,284,9
"5",4,100,0.067968994,100049882,1231,360,2,4,1231,0.014360095,4.834867,0.018812712,14.514762,70.61002,3366.1355,234409,20.11849,298.21286,287.73862,4.3200006,411.18616,-16.871098,-246.71304,28.580706,1231,0.0536089,5.3177366,0.035930652,16.87767,76.99932,4072.0786,75959,22.74704,311.9208,301.44656,4.680001,171.96265,-175.98619,-52.06413,92.91905,1,285,0
"6",5,100,0.027228633,99630515,1515,360,2,4,1515,0.015573395,5.3390017,0.020071436,13,73.17794,4104.711,263572,24.021545,312.49548,302.02124,4.3200006,439.89645,-50.49924,-248.24487,42.222385,1515,0.0116552375,2.8077955,0.017332071,11.453888,62.37127,1135.2551,97403,7.345973,219.95549,209.48125,4.680001,212.95778,-200.9691,-13.856162,101.66695,1,284,11
"7",6,100,0.03152156,99887714,1809,360,2,4,1809,0.011367793,4.9978747,0.01759815,13,66.565735,3596.9402,316415,22.358967,302.98776,292.51352,4.3200006,502.7259,5.8459167,-244.45619,17.080986,1809,0.020153765,4.903511,0.024395578,15.943609,71.40506,3462.3967,171799,20.431152,300.24295,289.7687,5.040001,322.89163,-206.14676,-81.22593,122.40702,1,294,0
"8",7,100,0.013019996,99411222,2044,360,2,4,2044,0.005832611,3.4756565,0.012547497,13.949381,57.544884,1739.5471,298245,12.154318,250.68274,240.2085,4.3200006,493.68213,8.707999,-228.22429,24.924648,2044,0.007187384,2.6344104,0.014554754,9.661993,56.96238,999.377,139046,6.9878373,210.77689,200.30264,5.040001,293.1206,-184.42615,-58.57253,121.17411,8,235,182
"9",8,100,0.03730953,99725241,2402,360,2,4,2402,0.011555466,5.180909,0.018636364,13.999967,83.545746,3865.2224,334493,21.26565,308.16714,297.6929,4.680001,509.2289,56.631466,-259.2351,-30.060638,2402,0.025754066,4.384659,0.025055192,12.023802,66.16807,2768.4333,107495,16.954376,284.13803,273.6638,5.040001,232.2036,-184.53313,-103.029236,78.3618,1,358,0
"10",9,100,0.055326935,126811076,2706,360,2,4,2706,0.011802002,4.920741,0.017764408,13.853216,70.622246,3486.7717,295439,20.919907,300.74805,290.2738,4.3200006,475.3464,-57.46055,-246.51369,43.901005,2706,0.043524932,5.950169,0.03479631,18.551336,73.87749,5098.2495,117134,29.14966,328.10236,317.6281,4.680001,228.38496,-226.5466,-20.24748,90.23709,1,304,42
"11",10,100,0.06780517,99653192,2998,360,2,4,2998,0.014620462,5.2931633,0.019247867,14,71.405594,4034.5312,275951,23.95554,311.25385,300.7796,4.3200006,448.62308,-84.17333,-240.86136,74.52817,2998,0.053184707,7.1290884,0.037920684,29.919836,78.71135,7318.641,137608,40.47588,354.13232,343.65808,3.2400002,241.43117,-256.72067,73.1336,-27.318344,1,292,4
