Id.Latido,Registro,Error,Time,Type,C1_BIC,C2_BIC,RR1,RR2
2,112,0.280966,1141.799327,1,529.254,337.99487,262,0
6,201,0.017281,959.723735,1,355.18472,376.60437,490,0
8,219,0.037872,5268.201137,1,248.40659,301.07242,314,145
9,221,0.053028,4832.684813,1,377.88287,396.79645,264,0
10,210,0.076351,606.661818,1,371.7294,206.81535,205,118
11,212,0.337846,1426.531403,1,457.83032,175.72522,243,16
12,221,0.024222,9833.695982,1,318.78018,344.35245,244,13
13,203,0.02615,6069.558209,1,319.16806,142.95639,244,11
14,223,0.010483,6226.982102,1,412.9168,247.64633,255,18
15,228,0.16432,4740.572892,1,366.23044,282.86215,365,0
17,105,0.103209,5839.195259,1,444.28574,494.13132,243,21
18,105,0.092449,3948.341046,1,441.11618,268.3931,260,0
19,121,0.041324,8229.563141,1,419.66174,344.9222,367,6
20,112,0.314606,8720.850863,1,314.03778,397.4892,257,14
21,112,0.273487,9489.325131,1,389.34555,347.96582,261,0
22,222,0.340524,7893.788106,1,407.10297,296.59592,299,8
25,112,0.235006,49.359619,1,430.2157,361.3835,253,11
26,215,0.025546,7842.339668,1,341.2971,358.01437,191,16
27,105,0.057774,2450.373042,1,373.928,36.185974,262,0
28,215,0.028435,5707.450827,1,408.44006,216.47472,215,0
30,230,0.120108,7067.539165,1,339.1949,194.42897,246,3
31,117,0.014216,1364.823232,1,470.69308,446.27283,416,24
33,234,0.127928,7825.466588,1,243.68942,289.34485,246,0
35,115,0.104841,1535.980217,1,485.25565,320.8176,327,59
36,210,0.119293,7384.611637,1,475.42047,301.52737,231,19
37,106,0.508665,3785.293126,1,453.2911,245.5099,311,12
38,103,0.014462,9085.912342,1,603.74493,410.69595,308,0
40,208,0.307712,4962.394595,1,364.11816,309.37247,216,0
41,223,0.008247,2559.649863,1,481.4353,345.51633,240,15
43,219,0.070392,2501.498039,1,385.10104,191.96147,274,5
44,233,0.074032,7970.331085,1,454.0096,451.95145,213,50
45,215,0.018977,2546.979817,1,504.42667,486.37613,199,57
47,100,0.03902,1637.3729,1,332.71545,67.261765,286,0
49,208,0.301472,5615.078015,1,279.68137,342.40347,231,0
50,221,0.068205,2432.89841,1,249.27188,247.96191,291,0
51,215,0.028762,9911.808835,1,380.26587,185.95062,202,4
52,203,0.141837,604.764271,1,348.77942,98.19447,244,102
